detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2c808e49-66e0-4d1f-87d5-3c711cb40c25,bnhtldbrdryispihzqns,1762777570619000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9d64b0da-b51d-467f-a758-c1cb23d3e91e,bnhtldbrdryispihzqns,1762777570619000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,68362ef6-e2bc-452e-b3a3-bf45fa10493f,bnhtldbrdryispihzqns,1762777570614000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,8f8e2fe9-08f9-40de-afb4-e967204cc289,bnhtldbrdryispihzqns,1762777570614000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,aec8942f-2d63-4d18-8664-0cf5ba306bf6,bnhtldbrdryispihzqns,1762777570602000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,7d0316e4-bcbd-4735-b949-10e508219b75,bnhtldbrdryispihzqns,1762777570602000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,7a0f2ff1-543c-40a2-a993-d7c80068fc34,bnhtldbrdryispihzqns,1762777570601000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,0edc658c-2e53-4d77-bec7-67ee92e5a8f8,bnhtldbrdryispihzqns,1762777570601000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,1fd0cf52-5728-4664-9a71-b0e1e54721fc,bnhtldbrdryispihzqns,1762777570600000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,1af427a7-3fa7-42d8-abba-845d4fec1d76,bnhtldbrdryispihzqns,1762777570600000
